"";"full_text"
"1";"te doy todo menos mi corazón"
"2";"Cálculo del exdirector del CISEN, @gvaldescas: 640,000 personas; si quieren el conservador (20% menos), más de medio millón. Ah! Marti Batres dijo que era “10 o 12,000 personas”. Como dice @acostanaranjo: “Por eso defendemos al @INEMexico, ¡para que no cuenten Ustedes los votos!” https://t.co/qnTITKPlGt"
"3";"Un video para expresar una idea… https://t.co/aCK4ghemHW"
"4";"@enbocacinefago Siiii que papelazo hizo Helen y que peliculón."
"5";"@aitor_gl10 @IvnMenndez1 A mi últimamente me cae hasta bien, obviando lo suyo claro."
"6";"Y cada vez más brutas https://t.co/nwv4zbCC5U"
"7";"RESENTIDOS Y ENVIDIOSOS <U+0001F921> https://t.co/mOVLPv76i2"
"8";"@wistohor @NicolasMaduro @vladimirpadrino @dhernandezlarez Prioridad para la #FANB es entrenar, adiestrar y especializar a la #MiliciaBolivariana en armas militares para la defensa del territorio venezolano. #FANB @NicolasMaduro @vladimirpadrino @dhernandezlarez"
"9";"<U+0001F3AF> Oferta para las deportivas Puma, en color blanco y con logo en dorado para adulto #Publi

<U+2B55><U+FE0F> Ahora: 34,95€ 
<U+0001F6D2> Aquí: https://t.co/r8I461aMz2

#amazon https://t.co/1EZaFeuUU5"
"10";"@aouviedo @sanidadradio2 @CaputRadio @DiputadosAR @SenadoArgentina @alferdez @CFKArgentina @ConcertaTOAS Seguimos difundiendo nuestra historia. #LeyTOASya #Son649 #NoTodoPasoEnMalvinas @ConcertaTOAS @DiputadosAR @SenadoArgentina #DictamenTOASya @alferdez @Cadena3.Com @PeriodismoDelux https://t.co/hkyTLrFqL7"
"11";"@RpsAgainstTrump Despicable"
"12";"@cosasdemmn1 Este tipo es un loco"
"13";"@germasters En serio? Que yo confío en Sorogoyen :("
"14";"A vosotros también os estresa pelar granadas porque sufrís por cada grano que se espachurra?"
"15";"@LockerRoomLOL Dasarrr animall"
"16";"@joselito_598 Y eso? Vendiste el coche o algo?"
"17";"Jeremy Harriman Alva Judson #<U+676D><U+5DDE> Nicholas Acheson #<U+6210><U+90FD> Perry Halifax #<U+6B66><U+6C49><U+7EBF><U+4E0B> Augus Clemens https://t.co/U5XnCQ2che"
"18";"Quien se anime a cogerme? 
#<U+82CF><U+5DDE> #<U+82CF><U+5DDE><U+7EBF><U+4E0B> https://t.co/ybfZAmyxMk"
"19";"@danielaasaastre ya veees"
"20";"@sergiosayas Desde luego no será con mi voto FASCISTA , no se puede tener menos vergüenza que tú , a quien quieres engañar ? Tú que fuiste un TRAIDOR DE MIERDA , QUE ERES FEO HASTA DE ESPALDA Y CON MÁS PLUMA QUE UN PAVO , VENGA YA HOMBRE , PREDICA EN TU TIERRA OPUSIANA Y VETE A UN SEMINARIO"
"21";"@Violet_axul @20m Da igual que este la ley o no.
Los políticos no van a la cárcel, gracia que ellos mismos son los que ponen a los jueces.
Aún no te has enterado?"
"22";"@levante_emv @TeresaDomin9uez El hecho de que sea marroquí supongo que que no tiene ninguna importancia"
"23";"@Fran_Guerrero82 Con este miserable https://t.co/lQchkBQlm0"
"24";"Buenos días!! Os habéis lavado ya la carita?"
"25";"@MaCaRaCaPo @rocioenelnombre Diferencia uno reconoce errores la otra no"
"26";"@APFOficial @ClubGuarani Felicidades @TotiAcosta2 Para mi que premio 28 de diciembre lo q tenían q ganar"
"27";"estoy con los mimsos de siempre, yo no traiciono"
"28";"Cultos a Jesús de la Paz con motivo de la Festividad de Cristo Rey (Cádiz)

@HdadPazCadiz
 https://t.co/x3qJMe1xmO vía @PasionGaditana_"
"29";"@Inigoo_25 Dependerá de la situaciòn, no? Y conste q yo no creo q lo haría!"
"30";"@GoddesSkull Pues me gusta mi trabajo, pero bueno, habrá que ver qué se puede hacer <U+0001F603>"
"31";"Alcantarilla. #AúpaAtleti
<U+2B07><U+FE0F><U+0001F1F5><U+0001F1EA><U+2B07><U+FE0F><U+0001F1F5><U+0001F1EA><U+2B07><U+FE0F><U+0001F1F5><U+0001F1EA><U+2B07><U+FE0F><U+0001F1F5><U+0001F1EA><U+2B07><U+FE0F><U+0001F1F5><U+0001F1EA><U+2B07><U+FE0F>
https://t.co/PUPcUqlTRa"
"32";"Vamos conquistando con acento en la maleta. <U+2764><U+FE0F><U+200D><U+0001FA79> https://t.co/svtKoY3SJ8"
"33";"@Sergio_PMA Pues sorprendentemente todo lo de Wolfman y Perez entra bastante bien. Eso si, después del Contrato de Judas para mi baja muchísimo"
"34";"@amilcarbarral Ud.. es igual otro BOLUDO, x que eres politico al igual que ese diputado, y eso esta en tu conciencia y basta con recordar."
"35";"@arte_ester @lanuevaespana @DefconSp Hombre...teniendo en cuenta q solo somos 8 equipos encargados de gastros y colonos y q tengo amigos en varios de ellos. Pues sí. Lo sé maja. El fantasma será tu padre más probablemente."
"36";"@josevico4 madre del amor hermoso, esta payasa tiene idea de lo que significa que una persona se tire a la calle para defender que no nos quiten lo que más valora el resto del mundo, SANIDA PÚBLICA, UNIVERSAL Y GRATUITA¡¡¡"
"37";"@isaaris4 yo ni así 
no autorizo <U+0001F6AB><U+274C>"
"38";"@oracion_milagro Amén"
"39";"Les tiro gominolas para que se distraigan y voy bajandomelos uno a uno a puñetazo limpio fácil https://t.co/1RsubTbpBq"
"40";"«Astronomía Andalusí». Una muestra excepcional  realizada con los fondos patrimoniales @legadoandalusi en el interior de la #qubba del @CuartoReal  que solo podrás disfrutar esta semana, con motivo del #DíaPatrimonioMundial<U+27A1><U+FE0F>https://t.co/PjF6EU1ivp https://t.co/njRxLPDHb0"
"41";"@tweet_shahbaz_ @Dharmen06930262 @NigarNawab Intezar karo."
"42";"Cicerón y el arte de hablar en público https://t.co/YButvVnrO1"
"43";"UGT reclama la necesidad de aumentar los salarios y rebajar el coste de la energía
https://t.co/A6fsUKYA03"
"44";"Ahora los ladrones en #Venezuela son los funcionarios del régimen que supuestamente deben proteger al ciudadano. A plena luz del día. Son las nuevas bandas de choros, Leto con uniforme. @ElNacionalWeb @elestimulo @ChiguireBipolar @DiarioTalCual @jguaido @elcitizen @leopoldolopez https://t.co/pv6bH4lMm4"
"45";"@rosarioa El enemigo de mi enemigo es mi amigo, simplemente, después vuelve a la normalidad, es así,"
"46";"Vientos de más de 140 km/h en Viveiro (Lugo) en una madrugada de abundantes lluvias en puntos de Pontevedra y A Coruña https://t.co/05zvxrJ85F"
"47";"@Javidurio @wildbehav Y los “zupos marinos”?"
"48";"@Hohepa19 Jajajaj Joe"
"49";"@ABorreroVega @Vice_Ec @Salud_Ec @ConasaEcuador Sr CASPER miente los enfermos de diálisis no tienen medicamentos los ancianos no reciben ni atención médica les dan medicinas caducadas los enfermos los almacenes siguen con polvo y telarañas se va al Mundial si le dice el PADRINO le dice tírese a un pozo se tira Ud"
"50";"@Bella31654810b Buenos días Bella <U+0001F618>
Feliz martes querida <U+0001F338><U+0001F338>

<U+0001F33B><U+2764><U+FE0F><U+0001F32A><U+2764><U+FE0F><U+0001F33B>
#CanYaman
#ElTurco"
