"";"full_text"
"1";"La mentira de los medios: Ucrania es un país democrático. Respeta la legalidad internacional.

La realidad: el ejército ucraniano tortura civiles y ejecuta a militares rusos cautivos y desarmados.

EEUU manda, la UE calla, Ucrania asesina. Crímenes de guerra apoyados por la OTAN. https://t.co/ebzRB52n4m"
"2";"<U+0001F534>  ÚLTIMA HORA | Suecia confirma el sabotaje del Nord Stream al hallar trazas de explosivo en los tramos dañados https://t.co/74Qb5d4197 https://t.co/3Arw5p3iVq"
"3";"Servicio Estatal de Emergencia: Casi el 30% del territorio ucraniano está minado.

""El área y los volúmenes de minería en el territorio de Ucrania han aumentado diez veces en comparación con el período anterior a la guerra"", dijo Serhii Kruk."
"4";"La guerra Rusia - Ucrania, minuto a minuto | Rusia denuncia una masacre de prisioneros a manos de soldados ucranianos
https://t.co/6VwMPdhebx a través de @Pagina12 https://t.co/Ows9YV3P8X"
"5";"@ChiclayoFlores Pero ahorita en #Europa está complicado por el tema de la energía a causa de esa bendita guerra #Rusia - #Ucrania. Sin calefacción, graves."
"6";"Leyendo el artículo de @PesoRazon <U+0001F447>, de los pocos que daban información sobre Hunter Biden y su laptop o sobre la guerra que ocurriría en Ucrania, me vienen a la cabeza varias cosas. 
https://t.co/SbVSKVeTko"
"7";"@okdiario ""Zelenski buscó una vez más un pretexto para arrastrarnos a una guerra mundial"", escribió el diputado francés en su cuenta de Twitter. Señaló que ""Ucrania resiste solo gracias a la ayuda militar de la OTAN, así como a los recursos financieros de los contribuyentes europeos""."
"8";"@romualdoperisg1 @UKR_token Lo que quedó demostrado es que Rusia no es la potencia mundial que decía ser lleva más de 9 meses tratando de ganar una guerra a un país pequeño como Ucrania."
"9";"@mae_rusia @mod_russia @EmbajadaRusaES @EmbajadaRusaVen @EmbRusPan @RusEmbPeru @RusiaColombia @EmbRusiaEnArgEs @EmbRusiaMexico @EmbRusCuba @David_qva @liusivaya Es un video que muestra un crimen de guerra y toda la dirigencia de Ucrania deberá rendir cuentas de este crimen. Ucrania debe ser vencida en su totalidad.-"
"10";"@ANITAABLA10 @EstefMolina_ Sí, ya nos intenta convencer de que Ucrania va a ganar la guerra aunque pierda territorio. La otanita, que es así ella."
"11";"Estoy escuchando sobre “Crímenes de Guerra” en Ucrania. Yo no entiendo,pues para mi  la guerra en sí misma es un Crimen!!"
"12";"De quién es la culpa? ¡De Pushkin! <U+0001F58B><U+0001F4DA>
En Ucrania sigue la guerra contra la literatura rusa en la manera más indigna. 
Los adultos derriban los monumentos y los niños apedrean las vallas publicitarias que representan a Pushkin y Fet ante los vítores de sus padres
En lugar de https://t.co/FPnKb87bSk"
"13";"""En este momento, en Rusia, si dices que no estás a favor de la guerra es posible que alguien haga una llamada anónima para denunciarte por haber difamado al ejército y al presidente y mandarte a la cárcel""
Por @tergar_
https://t.co/69mw1vuQ4C"
"14";"@PabloEchenique En Ucrania estamos luchando porque nos ha metido la Otan y USA en su guerra.  Menos hacer de capitan valiente y empezar a resolver los problemas de las clases mas desfavorecidas, que pronto estarar peor que los Ucranianos."
"15";"¿Cuantas vidas y bienes ha costado la guerra de Ucrania desde que el nazi Zelenski os pidió ayuda OTAN y Europa? ¿Habéis ganado mucho dinero? ¿Os ha sido rentable? ¿Son buenas las perspectivas de negocio con nazis?"
"16";"@UKR_token Se le va deformar la nariz como Pinocho, si Ucrania estuviera ganando la guerra no chillaria tanto el títere selenskis pidiendo apoyó y vendiendo la soberanía de su país al calor de la sangre de su pueblo a USA, UE Y OTAN,"
"17";"@gabyspepe Vergüenza es ser ladrón o k
Que son sinónimos 
Los k salen a defender a chorros y entongados, cómo si el pendejo hubiera ido a la guerra de ucrania
Vergüenza sos vos gabriela pepe"
"18";"La Ausencia del Principe Heredero Saudí Muhammad Bin Salman
en la cumbre climática mundial
Imam Mahdi Nasser Mohammed Al-Yamani
09 -11- 2022
Ministerio de Igualdad
Tercera Guerra Mundial
Spain
Ucrania
Rusia
#ClimateExchange
#COVID19 https://t.co/ItZLxaQ5Nr https://t.co/fQ9s1mzQMp"
"19";"A parte de mis libros y de videojuegos, quien siga mi timeline habrá visto que hay 2 temas centrales que comparto a diario. 1 es la guerra en Ucrania, la que considero la 3ª guerra mundial, en la que somos parte. El otro es, la revolución en Irán, igual de importante y crucial."
"20";"@Lamcito06 @negro_milano Bueno, técnicamente si lo hubieran hecho como lo describió el dolape, Ucrania ya hubiera perdido la guerra  hace mucho, pero bueh, ya sabemos que Putin no piensa bien sus estrategias."
"21";"Hablando sobre la guerra Rusia - Ucrania. El país que respalde a Rusia está apoyando a un invasor, quienes apoyen a Ucrania están ayudando a un país que está siendo invadido. Gran diferencia...<U+0001F914>"
"22";"con un comunicado conjunto que menciona la guerra en Ucrania y sus efectos.

El texto consensuado refleja que ""la mayoría"" de los miembros ""condenan"" la ""agresión"" rusa contra Ucrania y destaca que el conflicto causa un ""inmenso"
"23";"La cumbre del APEC concluye con una condena de la mayoría a guerra en Ucrania (El Mundo)

Los líderes de las 21 economías del Foro de Cooperación Económica Asia-Pacífico, que incluye a Rusia, concluyeron este sábado su cumbre en Bangkok"
"24";"El diputado francés llamó ""psicópata"" a Zelensky tras el incidente con la caída de un cohete en #Polonia y pidió una solución pacífica del conflicto en #Ucrania

Nicolas Dupont-Aignan acusó a Zelensky de su intención de desatar la Tercera Guerra Mundial en su Twitter. https://t.co/s0zBKn3FeD"
"25";"@MrElegantesv Se venderán cuando suban al finalizar la guerra entre Rusia y Ucrania. Ahora son una inversión a mediano plazo."
"26";"@_J3r0 @porquetendencia Hay periodistas en linea de guerra en Ucrania, que no te sorprenda que un periodista esté haciendo su trabajo y a la vez pueda criticar un hecho."
"27";"La triste realidad en #Chile cuándo la televisión culpa a la Guerra #Rusia y #Ucrania cuándo nuestro país sólo depende netamente de #Brasil y #Ecuador en materia de combustible @DipCristobal @carreragonzalo @Jou_Kaiser @dipuBobadilla @leoromerosaez @mauricio_ojedar @BarchiesiDip https://t.co/LZ1py2ecLp"
"28";"#Mundo | #URGENTE

#EEUU admite que #Ucrania tiene pocas probabilidades de ganar la guerra. 

""Finalmente el objetivo real de EEUU ya fue conseguido: someter económicamente a Europa""

https://t.co/HtY09WVMX5"
"29";"@Ruben63525024 @Arq_Santiago_C @DanteForesi Jajaja dios dejen el manual por favor. Dame un pais que@por esos sucesos tenga la inflación que tenemos. Y por otro lado te cuento que Ucrania al estar e guerra aumentaros los valores justamente de lo que nosotros exportamos, por ende es beneficioso para Argentina."
"30";"Muchas viviendas en zonas que ocuparon los rusos están sin ventanas o tejados en pueblos donde no hay agua, luz ni gas. Estas fotos se hicieron en la región de Járkov, al noreste de Ucrania, los días 9 y 18 de noviembre. https://t.co/7qIyN2H40q"
"31";"<U+0001F1FA><U+0001F1E6> Ucrania dice que está investigando videos que muestran la ejecución de prisioneros de guerra rusos en Kiev ."
"32";"<U+2708><U+FE0F><U+0001F6A7> El estado ucraniano aprovechará las piezas que aún funcionan.
https://t.co/tfDKC8HgXA"
"33";"@TorresGotay Como le paso a Tulsi son los Democratas? Bueno, ella se queda en el Partido Democrata hasta el conflicto en Ucrania donde su partido quiere la guerra y ella no."
"34";"@ManuSori @botasfinas @edubarriga14 @UKR_token Ucrania es utilizada por EEUU y la OTAN, despues de esto EEUu provocará la guerra entre China-Taiwan y el AUKUS, después irá por la India y provocará la guerra con Paquistán, ya el Ministro Khan denuncio a EEUU por provocar el golpe a él."
"35";"#TrenesArgentinos y su forma de comerciar los boletos, no se ve ni siquiera en una situación de guerra como en Ucrania, pobre Argentina con sus asquerosos políticos."
"36";"@NoraMytho @DespotismoIlus4 @ElyonMan Iraq no tenía armas de destrucción masiva, y fue una guerra ilegal, si. Pero bombardeo a los kurdos con armas químicas, también. Tu eres tan retrasado e hipócrita que condenas a usa por Iraq pero apoyaras a rusia en Ucrania. Pero estábamos hablando del MH17, t dispersas"
"37";"«Desde los primeros días de la guerra, Ucrania y el Reino Unido han sido los aliados más poderosos», escribió el presidente ucraniano, Volodimir Zelenski en Telegram, publicando un video de su reunión con Sunak en Kiev
https://t.co/QaFuWZ6osr"
"38";"Evgenia, la 'novia de Ucrania', de joyera a francotiradora: ""Dicen que soy la 'genia de la guerra'"" https://t.co/2S2EVN6OHt"
