"1";"Junqueras, sobre la derogación del delito de sedición: ""Logramos resultados concretos para hoy y bajamos el precio para cuando lo volvamos a intentar"".  Gracias, Sr. Sánchez. https://t.co/b1JKGnp1Cu" 
"2";"""La supuesta falta de homologación del delito de sedición no aparece mencionado en el informe de la Comisión sobre el Estado de derecho en España. Sí pide la homologación de nuestro sistema de elección de jueces a estándares europeos""  De @jitorreblanca: https://t.co/ur3GV9s8jA" 
"3";"La Asociación de Fiscales recuerda al Gobierno que derogar el delito de sedición supone «desproteger» el orden constitucional y avisa de la «dudosa constitucionalidad» https://t.co/Dm7ISO2WLG" 
"4";"@BuiaEnUnMaravi1 Sánchez ya tiene los votos necesarios para sacar adelante los presupuestos, ya no necesita a ERC, ya no necesita modificar el delito de sedición. Ya se ha vendido a Bildu. Viva la @guardiacivil  siempre con los españoles <U+0001F1EA><U+0001F1E6>" 
"5";"@PedroSe08331597 @BalEdmundo Este sr. abogado del estado es el que presentó enmiendas a la ley advirtiendo eso precisamente y este sr. es el que se plantó frente a Sánchez y se negó a firmar que no se estaba cometiendo un delito de sedición y por eso lo cesaron,  a ver cuantos harían lo mismo, ¿usted?" 
"6";"&lt;&lt;Encadenar la masacre opaca en la frontera con Marruecos, las dudas de Europa sobre el impuesto populista a la banca, el borrado del delito de sedición a demanda de los sediciosos, la coqueta distinción entre malversación buena y malversación mala como paso previo a su" 
"7";"@rosamariaartal ¿Lo de la sedición para librar a los que delinquieron, la revisión del delito de prevaricación a la carta, salida de guardia civil de navarra y el estrepitoso fracaso de la dichosa ley... todo oks? Olvídate de Feijóo por un instante." 
"8";"@corocotta2 @NunezFeijoo Pues presentando una moción de censura se pararía la burrada de la reforma del delito de sedición durante tres meses, y Sánchez tendría que presentarlo justo antes de las autonómicas, lo que pagaría en las urnas. Pero a Feijoó no le viene bien…" 
"9";"Ni lo voy a leer, efectivamente esto se está yendo de madre. Pero tengo una cosa muy clara, todo el que os vuelva a votar, por ej después de barbaridades tales como la eliminación del delito de SEDICIÓN, es tan culpable como aquellos diputados que voten SÍ a la Ley que lo elimina https://t.co/1SqJ8C5jJn" 
"10";"SÁNCHEZ EL DELITO  DE LA SEDICIÓN,,Y LA IRENE  MONTERO  TE LLEVARÁ  A TU CASA,,MIRA POR TI QUE ES MIRAR POR TODOS LS  ESPAÑOLES.  ACTÚA  CON CABEZA Y NO NOS VENDAS A GENTUZA...REPÚBLICA EUROPEA..." 
"11";"@pilar_llop @justiciagob <U+0001F534> ENTREVISTA  | @pilar_llop, ministra de @justiciagob  ""No tengo ni idea de cómo van a ir los calendarios de tramitación de la revisión del delito de sedición""  https://t.co/rLp8XRnKQf https://t.co/yIQo8w7Ssh" 
"12";"La respuesta de Víctor Píriz diputado del PP a Rufián:«Montero no es útil y, por tanto, es inútil»   Y ha acusado al Gobierno de «volver a cambiar presos por presupuestos» y de eliminar el delito de sedición para ""contentar"" a sus socios separatistas https://t.co/DU0uJ9Kw5v" 
"13";"<U+0001F5E3>«Substituír o delito de sedición polo de desordes públicas agravadas con criterios como o da intimidación pode permitir unha política represiva sobre calquera que se mobilice para discrepar politicamente.»  Presentaremos emendas para corrixir as ‘contrapartidas’ introducidas<U+2935><U+FE0F> https://t.co/7eOwy9911v" 
"14";"@aecrim_ @mrterroriux @TaniaCrespo3 @elmundoes @sanchezcastejon @PSOE Los estándares los marca el Consejo de Europa, que es el organismo al cual le hemos dado esa potestad voluntariamente, como 45 Estados más. Igual que nos hemos apuntado a la UE y la ONU y a sus reglas voluntariamente.  Y en Alemania no existe nuestro delito de sedición" 
"15";"Analizamos con Gil Lázaro la derogación del delito de sedición y la polé... https://t.co/i8w7yOktke a través de @YouTube" 
"16";"@sanchezcastejon Con todo lo malo que dices que es el PP tú vas a hacer que el PSOE sea mucho peor.  Eres un TRAIDOR SINVERGÜENZA.  Pactas y cedes ante ETA y expulsas a la Guardia Civil de Navarra.  Cedes ante los separatistas y eliminas el delito de sedición.  Lo pagarás en las urnas, MISERABLE." 
"17";"Andan en Génova satisfechos al dar con la fórmula para detener la barbaridad que Sánchez va a perpetrar con la rebaja del delito de sedición: convencer a 30 socialistas de que se abstengan en la votación. Agárrame esa mosca por el rabo. <U+270D><U+FE0F> @MiquelGimenezG1 https://t.co/MMx2uu056y" 
"18";"@okdiario Q rabia da todo esto. ¿Pq no aprovechamos la derogacion del delito de sedición y nos rebelamos contra Sánchez ""Mienteme""???" 
"19";"La reforma del delito de sedición  Vía @nuevatribuna https://t.co/keEe1INSgY" 
"20";"¡¡¡¡¿¿¿El gobierno negocia la reforma del delito de sedición con los mismos delincuentes que se han saltado la ley, los sediciosos!!!!!!???? https://t.co/j95y1srQYa" 
"21";"La fiscalia del estado, elegido por el gobierno, piensa que la ley más inútil y polémica es correcta. Esa misma fiscalia esta a favor del indulto a griñan, y tb a favor de eliminar el delito de sedición y modificar el de corrupción. Si aun así no lo ves, pide ayuda." 
"22";"#PGE2023 más cupo vasco, guardia civil fuera de Navarra, abolición del delito de #sedición ad-hoc, y demás regalías para las provincias rebeldes, así se destruye la sanidad desde Moncloa <U+0001F447><U+0001F3FB> https://t.co/flGVfnds8p" 
