2024-06-05 19:29:47,089 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:29:47,090 INFO: Starting processing.
2024-06-05 19:29:47,090 INFO: Loading tweets.
2024-06-05 19:29:47,689 INFO: 061854 tweets have being loaded.
2024-06-05 19:29:47,690 INFO: Processing tweets.
2024-06-05 19:29:47,692 INFO:     Preprocessing texts.
2024-06-05 19:29:47,693 INFO:        - Stopchars to be deletted:
2024-06-05 19:29:47,694 INFO:           ['!', '"', '#', '$', '%', '&', "'", '(', ')', '*', '+', ',', '-', '.', '/']
2024-06-05 19:29:47,699 INFO:           ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', ':', ';', '<', '=', '>']
2024-06-05 19:29:47,700 INFO:           ['?', '@', '[', '\\', ']', '^', '_', '`', '{', '|', '}', '~', '¡', '¢', '£']
2024-06-05 19:29:47,702 INFO:           ['¤', '¥', '¦', '§', '¨', '©', 'ª', '«', '¬', '®', '¯', '°', '±', '²', '³']
2024-06-05 19:29:47,703 INFO:           ['´', 'µ', '¶', '·', '¸', '¹', 'º', '»', '¼', '½', '¾', '¿', 'Æ', '×', 'Ø']
2024-06-05 19:29:47,704 INFO:           ['Þ', 'ß', 'æ', 'ø', '‘', '’', '“', '”', '„', '•', '…', '€', '™']
2024-06-05 19:29:47,705 INFO:        - Stopwords to be deletted:
2024-06-05 19:29:47,706 INFO:           ['a', 'actualmente', 'adelante', 'además', 'afirmó', 'agregó']
2024-06-05 19:29:47,707 INFO:           ['ahora', 'ahí', 'al', 'algo', 'alguna', 'algunas']
2024-06-05 19:29:47,709 INFO:           ['alguno', 'algunos', 'algún', 'alrededor', 'ambos', 'ampleamos']
2024-06-05 19:29:47,710 INFO:           ['ante', 'anterior', 'antes', 'apenas', 'aproximadamente', 'aquel']
2024-06-05 19:29:47,711 INFO:           ['aquellas', 'aquellos', 'aqui', 'aquí', 'arriba', 'aseguró']
2024-06-05 19:29:47,712 INFO:           ['así', 'atras', 'aunque', 'ayer', 'añadió', 'aún']
2024-06-05 19:29:47,713 INFO:           ['bajo', 'bastante', 'bien', 'buen', 'buena', 'buenas']
2024-06-05 19:29:47,714 INFO:           ['bueno', 'buenos', 'cada', 'casi', 'cerca', 'cierta']
2024-06-05 19:29:47,715 INFO:           ['ciertas', 'cierto', 'ciertos', 'cinco', 'comentó', 'como']
2024-06-05 19:29:47,716 INFO:           ['con', 'conocer', 'conseguimos', 'conseguir', 'considera', 'consideró']
2024-06-05 19:29:47,717 INFO:           ['consigo', 'consigue', 'consiguen', 'consigues', 'contra', 'cosas']
2024-06-05 19:29:47,719 INFO:           ['creo', 'cual', 'cuales', 'cualquier', 'cuando', 'cuanto']
2024-06-05 19:29:47,720 INFO:           ['cuatro', 'cuenta', 'cómo', 'da', 'dado', 'dan']
2024-06-05 19:29:47,721 INFO:           ['dar', 'de', 'debe', 'deben', 'debido', 'decir']
2024-06-05 19:29:47,722 INFO:           ['dejó', 'del', 'demás', 'dentro', 'desde', 'después']
2024-06-05 19:29:47,723 INFO:           ['dice', 'dicen', 'dicho', 'dieron', 'diferente', 'diferentes']
2024-06-05 19:29:47,724 INFO:           ['dijeron', 'dijo', 'dio', 'donde', 'dos', 'durante']
2024-06-05 19:29:47,725 INFO:           ['e', 'ejemplo', 'el', 'ella', 'ellas', 'ello']
2024-06-05 19:29:47,726 INFO:           ['ellos', 'embargo', 'empleais', 'emplean', 'emplear', 'empleas']
2024-06-05 19:29:47,728 INFO:           ['empleo', 'en', 'encima', 'encuentra', 'entonces', 'entre']
2024-06-05 19:29:47,729 INFO:           ['era', 'erais', 'eramos', 'eran', 'eras', 'eres']
2024-06-05 19:29:47,730 INFO:           ['es', 'esa', 'esas', 'ese', 'eso', 'esos']
2024-06-05 19:29:47,731 INFO:           ['esta', 'estaba', 'estabais', 'estaban', 'estabas', 'estad']
2024-06-05 19:29:47,732 INFO:           ['estada', 'estadas', 'estado', 'estados', 'estais', 'estamos']
2024-06-05 19:29:47,733 INFO:           ['estan', 'estando', 'estar', 'estaremos', 'estará', 'estarán']
2024-06-05 19:29:47,735 INFO:           ['estarás', 'estaré', 'estaréis', 'estaría', 'estaríais', 'estaríamos']
2024-06-05 19:29:47,736 INFO:           ['estarían', 'estarías', 'estas', 'este', 'estemos', 'esto']
2024-06-05 19:29:47,737 INFO:           ['estos', 'estoy', 'estuve', 'estuviera', 'estuvierais', 'estuvieran']
2024-06-05 19:29:47,738 INFO:           ['estuvieras', 'estuvieron', 'estuviese', 'estuvieseis', 'estuviesen', 'estuvieses']
2024-06-05 19:29:47,739 INFO:           ['estuvimos', 'estuviste', 'estuvisteis', 'estuviéramos', 'estuviésemos', 'estuvo']
2024-06-05 19:29:47,741 INFO:           ['está', 'estábamos', 'estáis', 'están', 'estás', 'esté']
2024-06-05 19:29:47,742 INFO:           ['estéis', 'estén', 'estés', 'ex', 'existe', 'existen']
2024-06-05 19:29:47,743 INFO:           ['explicó', 'expresó', 'fin', 'fue', 'fuera', 'fuerais']
